GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024R0Z5	TEGT	involved_in	GO:0034976	response to endoplasmic reticulum stress	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D2C7|ensembl:ENSMUSP00000023749	9606	Ensembl		P
UniProtKB	A0A024R0Z5	TEGT	involved_in	GO:0034620	cellular response to unfolded protein	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D2C7|ensembl:ENSMUSP00000023749	9606	Ensembl		P
UniProtKB	A0A024R0Z5	TEGT	involved_in	GO:1990441	negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D2C7|ensembl:ENSMUSP00000023749	9606	Ensembl		P
UniProtKB	A0A024R1L3	RP5-1104E15.5	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5XIS8|ensembl:ENSRNOP00000075752	9606	Ensembl		P
UniProtKB	A0A024R1N4	XRCC6	involved_in	GO:0006303	double-strand break repair via nonhomologous end joining	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005160|InterPro:IPR006164|InterPro:IPR006165	9606	InterPro		P
UniProtKB	A0A024R1N4	XRCC6	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R1N4	XRCC6	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R1V0	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1V0	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1V0	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R1V0	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R1V6	PCGF2	involved_in	GO:0070301	cellular response to hydrogen peroxide	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P23798|ensembl:ENSMUSP00000137517	9606	Ensembl		P
UniProtKB	A0A024R1V7	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1V7	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1V7	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R1V7	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R1V8	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1V8	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011364|InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1V8	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R1V8	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R1W0	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1W0	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011364|InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1W0	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R1W0	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R1X5	BECN1	involved_in	GO:0034198	cellular response to amino acid starvation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91XJ1|ensembl:ENSRNOP00000071966	9606	Ensembl		P
UniProtKB	A0A024R1X5	BECN1	involved_in	GO:0042149	cellular response to glucose starvation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O88597|ensembl:ENSMUSP00000119369	9606	Ensembl		P
UniProtKB	A0A024R1X5	BECN1	involved_in	GO:0070301	cellular response to hydrogen peroxide	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91XJ1|ensembl:ENSRNOP00000071966	9606	Ensembl		P
UniProtKB	A0A024R1X5	BECN1	involved_in	GO:0033554	cellular response to stress	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00025328	9606	UniProt		P
UniProtKB	A0A024R1Y0	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1Y0	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011364|InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1Y0	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R1Y0	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R1Y1	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1Y1	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011364|InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1Y1	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R1Y1	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R1Z8	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1Z8	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031099	9606	InterPro		P
UniProtKB	A0A024R1Z8	BRCA1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R1Z8	BRCA1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R258	UBQLN1	involved_in	GO:0033554	cellular response to stress	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00025328	9606	UniProt		P
UniProtKB	A0A024R2B3	BCL2	involved_in	GO:0031103	axon regeneration	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P10417|ensembl:ENSMUSP00000108371	9606	Ensembl		P
UniProtKB	A0A024R2B3	BCL2	involved_in	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P10417|ensembl:ENSMUSP00000108371	9606	Ensembl		P
UniProtKB	A0A024R2B3	BCL2	involved_in	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P10417|ensembl:ENSMUSP00000108371	9606	Ensembl		P
UniProtKB	A0A024R2B3	BCL2	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P10417|ensembl:ENSMUSP00000108371	9606	Ensembl		P
UniProtKB	A0A024R2B3	BCL2	involved_in	GO:0042149	cellular response to glucose starvation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P10417|ensembl:ENSMUSP00000108371	9606	Ensembl		P
UniProtKB	A0A024R2D5	EDEM1	involved_in	GO:1904382	mannose trimming involved in glycoprotein ERAD pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR044674	9606	InterPro		P
UniProtKB	A0A024R2D5	EDEM1	involved_in	GO:0030433	ubiquitin-dependent ERAD pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q925U4|ensembl:ENSMUSP00000086565	9606	Ensembl		P
UniProtKB	A0A024R2I7	RAD18	involved_in	GO:0006301	postreplication repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039577	9606	InterPro		P
UniProtKB	A0A024R2I7	RAD18	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006642	9606	InterPro		P
UniProtKB	A0A024R2I7	RAD18	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R2I7	RAD18	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R2I7	RAD18	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00024347	9606	UniProt		P
UniProtKB	A0A024R2L1	WDR48	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BH57|ensembl:ENSMUSP00000042509	9606	Ensembl		P
UniProtKB	A0A024R2L1	WDR48	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BH57|ensembl:ENSMUSP00000042509	9606	Ensembl		P
UniProtKB	A0A024R2M8	XPC	involved_in	GO:0006289	nucleotide-excision repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004583	9606	InterPro		P
UniProtKB	A0A024R2M8	XPC	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R2M8	XPC	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R2M8	XPC	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00027316	9606	UniProt		P
UniProtKB	A0A024R2S9	MLH1	involved_in	GO:0006298	mismatch repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR013507|InterPro:IPR038973	9606	InterPro		P
UniProtKB	A0A024R2U4	TREX1	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033349	9606	InterPro		P
UniProtKB	A0A024R307	TREX1	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033349	9606	InterPro		P
UniProtKB	A0A024R318	PARP3	involved_in	GO:0006302	double-strand break repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031275	9606	InterPro		P
UniProtKB	A0A024R318	PARP3	involved_in	GO:0006302	double-strand break repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q3ULW8|ensembl:ENSMUSP00000108098	9606	Ensembl		P
UniProtKB	A0A024R318	PARP3	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00024347	9606	UniProt		P
UniProtKB	A0A024R324	RHOA	involved_in	GO:0031098	stress-activated protein kinase signaling cascade	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P61589|ensembl:ENSRNOP00000066672	9606	Ensembl		P
UniProtKB	A0A024R361	NEIL2	involved_in	GO:0006284	base-excision repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000214|InterPro:IPR012319|InterPro:IPR015886	9606	InterPro		P
UniProtKB	A0A024R361	NEIL2	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R361	NEIL2	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R371	ARL6IP5	involved_in	GO:0036475	neuron death in response to oxidative stress	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8R5J9|ensembl:ENSMUSP00000041503	9606	Ensembl		P
UniProtKB	A0A024R377	KIAA0863	involved_in	GO:0034599	cellular response to oxidative stress	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CHC8|ensembl:ENSMUSP00000068560	9606	Ensembl		P
UniProtKB	A0A024R395	MRE11A	involved_in	GO:0006302	double-strand break repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003701|InterPro:IPR007281	9606	InterPro		P
UniProtKB	A0A024R395	MRE11A	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R395	MRE11A	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R395	MRE11A	involved_in	GO:0031573	mitotic intra-S DNA damage checkpoint signaling	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61216|ensembl:ENSMUSP00000034405	9606	Ensembl		P
UniProtKB	A0A024R395	MRE11A	involved_in	GO:0007095	mitotic G2 DNA damage checkpoint signaling	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61216|ensembl:ENSMUSP00000034405	9606	Ensembl		P
UniProtKB	A0A024R395	MRE11A	involved_in	GO:0006302	double-strand break repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61216|ensembl:ENSMUSP00000034405	9606	Ensembl		P
UniProtKB	A0A024R395	MRE11A	involved_in	GO:0006302	double-strand break repair	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000925762	9606	UniProt		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015519	9606	InterPro		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015519|InterPro:IPR044107	9606	InterPro		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015519|InterPro:IPR044107	9606	InterPro		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62388|ensembl:ENSMUSP00000156344	9606	Ensembl		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62388|ensembl:ENSMUSP00000156344	9606	Ensembl		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62388|ensembl:ENSMUSP00000156344	9606	Ensembl		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D4ACL8|ensembl:ENSRNOP00000045529	9606	Ensembl		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62388|ensembl:ENSMUSP00000156344	9606	Ensembl		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0006281	DNA repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62388|ensembl:ENSMUSP00000156344	9606	Ensembl		P
UniProtKB	A0A024R3E7	TEX12	involved_in	GO:0000711	meiotic DNA repair synthesis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9CR81|ensembl:ENSMUSP00000149921	9606	Ensembl		P
UniProtKB	A0A024R3T8	PARP1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P27008|ensembl:ENSRNOP00000004232	9606	Ensembl		P
UniProtKB	A0A024R3T8	PARP1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00024347	9606	UniProt		P
UniProtKB	A0A024R3U2	C1orf124	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR044245	9606	InterPro		P
UniProtKB	A0A024R3U2	C1orf124	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006642	9606	InterPro		P
UniProtKB	A0A024R3U2	C1orf124	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R3U2	C1orf124	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R3U2	C1orf124	involved_in	GO:0106300	protein-DNA covalent cross-linking repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:G3X912|ensembl:ENSMUSP00000034467	9606	Ensembl		P
UniProtKB	A0A024R3V2	EXO1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR032641	9606	InterPro		P
UniProtKB	A0A024R3V2	EXO1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R3V2	EXO1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R3V2	EXO1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0228	9606	UniProt		P
UniProtKB	A0A024R3V2	EXO1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001453754	9606	UniProt		P
UniProtKB	A0A024R3Y4	CFLAR	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:C0H5Y5|ensembl:ENSRNOP00000016730	9606	Ensembl		P
UniProtKB	A0A024R4F4	POLD1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R4F4	POLD1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R4F4	POLD1	involved_in	GO:0045004	DNA replication proofreading	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P52431|ensembl:ENSMUSP00000039776	9606	Ensembl		P
