sample_ID,genes,transgene.tpm,transgene.count,all.count.sample,protein_microgram,protein_nmol
P6975_174,NHLRC3,7069.218332,114131,16871923,237,6.29147863
P6975_175,NPTX2,23988.7673,512417,16938074,1900,39.77808018
P6975_176,CCL23,120251.9607,380217,16204506,125,9.22236978
P6975_177,FCN3,38074.02964,459017,16791647,282,8.630979708
P6975_178,PGLYRP3,10374.00494,125585,15612594,528,13.91084414
P6975_179,ANGPTL4,9515.16334,171190,17597530,311,6.908040871
P6975_180,PROCR,13647.02827,108558,16125297,343,14.14899761
P6975_181,GLCE,8444.337832,292979,16795366,859,12.54673989
P6975_182,MBL2,2721.019015,29055,18415328,123,4.647647837
P6975_183,SFTPD,1301.173371,21223,16726309,351,9.250961995
P6975_184,MSTN,5657.010298,105536,15851122,440,10.31822339
P6975_185,ITGBL1,7262.730947,162678,15577231,214,4.028614458
P6975_186,IL20,17236.78123,91540,15822479,441,22.33363719
P6975_187,LRG1,3535.531699,45319,15501427,470,12.80968085
P6975_188,GXYLT1,8830.350107,174158,15857928,277,5.550657262
P6975_189,FURIN_2,1351.122039,23185,17326538,455,5.866350356
P6975_190,MMP14,4447.405978,103115,19006267,94,1.829256427
P6975_191,MYOC,15060.63717,398861,18534727,933,16.80959931
P6975_192,FLT3LG,274.981349,1779,15812792,0,0
P6975_193,CXCL13,32424.79162,70277,12878349,0,0
P6975_194,ADM5,7400.224726,27807,10771131,0,0
P6975_195,CCL20,38913.25508,52742,11882495,0,0
P6975_196,WT,,,,,
