geneid,symbol
100689476,Tcp1
100689477,Actb
100689478,Mt1
100689479,Mt2
100689484,Ear30
100736551,Adk
100736552,Scarb1
100736553,Efemp2
100736554,Pea15
100736555,Smu1
100736556,Pex7
100736557,Gapdh
100750331,Gtf2a2
100750332,Bmpr1a
100750333,Meltf
100750334,LOC100750334
100750335,LOC100750335
100750336,LOC100750336
100750337,LOC100750337
100750338,Slfn5
100750339,LOC100750339
100750340,LOC100750340
100750341,LOC100750341
100750342,Ccdc96
100750343,Lamtor1
100750344,Tvp23a
100750345,LOC100750345
100750346,LOC100750346
100750348,Dmc1
100750349,LOC100750349
100750350,Ntn1
100750351,LOC100750351
100750352,Pdhx
100750353,Hilpda
100750354,Rps6ka4
100750355,LOC100750355
100750356,Gpat2
100750357,Gstm3
100750358,Xpo6
100750359,Ssuh2
100750360,LOC100750360
100750361,Amer3
100750362,Tctn1
100750363,LOC100750363
100750364,LOC100750364
100750366,LOC100750366
100750367,Apopt1
100750368,Smarca1
100750370,LOC100750370
100750372,Dis3
100750373,Sh3kbp1
100750374,Hoxb4
100750375,Srpx2
100750376,LOC100750376
100750377,LOC100750377
100750378,LOC100750378
100750379,Socs4
100750380,Pdzd8
100750381,Aim2
100750382,Axin2
100750383,LOC100750383
100750384,Tp53rk
100750385,Tmem54
100750386,Bod1
100750387,Slc15a5
100750388,Eif2s2
100750389,Lrrc40
100750390,Ube2q1
100750391,Slc25a23
100750393,Itga1
100750394,Pno1
100750395,Madcam1
100750396,Pxk
100750397,Etv3
100750398,Chchd3
100750399,Col27a1
100750400,LOC100750400
100750401,Mtmr12
100750402,LOC100750402
100750403,Nhs
100750404,Gstk1
100750406,LOC100750406
100750407,LOC100750407
100750408,Ppt1
100750409,Myoc
100750410,Mrgprg
100750411,LOC100750411
100750413,Cfap65
100750414,Chd8
100750415,Cuedc2
100750416,Mbd5
100750417,N4bp1
100750418,LOC100750418
100750419,Chrdl1
100750420,Pde2a
100750421,LOC100750421
100750422,Il17a
100750423,LOC100750423
100750424,LOC100750424
100750425,Psmd2
100750426,Btrc
100750427,Dtl
100750428,LOC100750428
100750429,Sypl2
100750430,Atp4b
100750431,Rnf40
100750433,LOC100750433
100750434,Pcdhb14
100750435,LOC100750435
100750436,LOC100750436
100750437,LOC100750437
100750438,LOC100750438
100750439,Akr1e2
100750440,Sfxn3
100750441,Slc38a8
100750442,LOC100750442
100750443,LOC100750443
100750444,Sep15
100750445,Pdcd6
100750446,Tfb1m
100750447,Tprn
100750449,Jakmip3
100750451,Itm2c
100750452,LOC100750452
100750453,LOC100750453
100750454,Tlr3
100750455,LOC100750455
100750456,LOC100750456
100750457,Cidec
100750458,LOC100750458
100750459,LOC100750459
100750460,Gpbp1l1
100750462,Serpinc1
100750463,Zw10
100750465,Rnf44
100750466,Bcl10
100750467,LOC100750467
100750468,LOC100750468
100750469,Il18
100750470,Tmtc2
100750471,Klhl11
100750472,Tmem221
100750474,LOC100750474
100750475,LOC100750475
100750476,LOC100750476
100750477,Hemk1
100750478,LOC100750478
100750479,Gpr19
100750480,Myt1l
100750481,Tmem204
100750482,LOC100750482
100750483,Pgam5
100750484,LOC100750484
100750485,Kiaa1147
100750487,Mospd2
100750488,Ikbkb
100750489,Oasl
100750490,LOC100750490
100750491,Vangl1
100750492,Ppp1r17
100750493,LOC100750493
100750494,Fmo5
100750495,Ceacam19
100750496,LOC100750496
100750497,LOC100750497
100750498,LOC100750498
100750499,Ccdc39
100750500,LOC100750500
100750501,LOC100750501
100750502,Ubap1l
100750503,Cdc42bpa
100750504,LOC100750504
100750505,Alx4
100750506,LOC100750506
100750508,LOC100750508
100750509,Cbx7
100750510,Hrasls
100750511,LOC100750511
100750512,LOC100750512
100750514,LOC100750514
100750515,LOC100750515
100750516,LOC100750516
100750517,Ccdc85a
100750518,Enpp1
100750519,Mcidas
100750521,Dclre1a
100750522,Capza1
100750523,Ms4a10
100750524,Trh
100750525,Jag1
100750526,Pnkd
100750527,LOC100750527
100750528,LOC100750528
100750529,LOC100750529
100750530,Gclm
100750531,Vwf
100750532,Xpo7
100750533,Grap
100750534,Prpf18
100750535,Rnf11
100750536,LOC100750536
100750538,Bin2
100750539,LOC100750539
100750541,LOC100750541
100750542,Slc45a1
100750544,Rad21
100750545,Auts2
100750546,LOC100750546
100750547,Got1l1
100750548,LOC100750548
100750549,LOC100750549
100750550,LOC100750550
100750551,LOC100750551
100750552,Hexa
100750553,LOC100750553
100750555,Acbd6
100750556,Nr3c2
100750557,LOC100750557
100750559,Phlpp1
100750560,LOC100750560
100750561,Defb129
100750562,Ccdc188
100750563,Apc
100750564,LOC100750564
100750565,Ube2l3
100750567,LOC100750567
100750568,Tspyl4
100750569,Frmd1
100750570,Dus2
100750571,LOC100750571
100750572,LOC100750572
100750573,Ptgr2
100750574,LOC100750574
100750575,Kmt2b
100750576,Retsat
100750577,Xylb
100750578,Rcbtb2
100750579,Invs
100750580,Cs
100750581,LOC100750581
100750582,Ankrd49
100750584,LOC100750584
100750585,LOC100750585
100750586,Mrto4
100750587,LOC100750587
100750588,Snx18
100750589,Bard1
100750590,LOC100750590
100750591,Dip2b
100750592,LOC100750592
100750593,LOC100750593
100750594,Ca11
100750595,LOC100750595
100750596,Stk35
100750597,LOC100750597
100750598,LOC100750598
100750599,LOC100750599
100750600,LOC100750600
100750601,LOC100750601
100750602,Rpl27a
100750604,LOC100750604
100750605,Cnpy4
100750606,LOC100750606
100750607,Pfdn6
100750608,Vnn1
100750609,Ap2b1
100750610,Irx1
100750611,LOC100750611
100750612,Rpl22l1
100750613,LOC100750613
100750614,Tc2n
100750615,Grin2d
100750617,LOC100750617
100750618,LOC100750618
100750619,Rrp15
100750620,Bnip2
100750621,Ldb3
100750622,Pigz
100750623,LOC100750623
100750624,Ccdc50
100750625,LOC100750625
100750626,LOC100750626
100750627,LOC100750627
100750628,LOC100750628
100750629,LOC100750629
100750631,Lrrc51
100750632,Dexi
100750633,Chia
100750634,LOC100750634
100750635,LOC100750635
100750636,Kdelr3
100750637,LOC100750637
100750638,LOC100750638
100750639,Pex16
100750640,Cd44
100750641,Fam71f2
100750643,Astl
100750644,LOC100750644
100750645,Sstr3
100750647,Olfml2a
100750648,LOC100750648
100750650,Pptc7
100750652,LOC100750652
100750653,LOC100750653
100750654,LOC100750654
100750655,Aspg
100750656,LOC100750656
100750657,LOC100750657
100750658,LOC100750658
100750660,LOC100750660
100750661,Eif1ax
100750662,Hoxb3
100750663,LOC100750663
100750664,LOC100750664
100750666,LOC100750666
100750667,Gch1
100750669,LOC100750669
100750670,Fam20a
100750672,Slc13a3
100750673,Hpca
100750675,Dera
100750676,Asip
100750677,Srsf11
100750678,She
100750679,Tnfsf9
100750680,Ern1
100750681,Pelo
100750682,Etaa1
100750683,Cdc34
100750684,Pear1
100750685,Exoc4
100750686,Ambp
100750687,LOC100750687
100750688,LOC100750688
100750689,Pi16
100750690,LOC100750690
100750691,LOC100750691
100750692,LOC100750692
100750693,LOC100750693
100750694,Zcchc7
100750695,LOC100750695
100750696,Rragc
100750697,Dll1
100750698,Prrc2c
100750699,Mrgpre
100750700,Slc25a40
100750701,B3gat1
100750702,Fev
100750703,Supt16h
100750704,Actr1a
100750706,Xrcc2
100750707,Rpl35
100750708,LOC100750708
100750709,Brwd1
100750710,LOC100750710
100750711,LOC100750711
100750713,Camk2n2
100750714,LOC100750714
100750715,LOC100750715
100750717,Sort1
100750718,Grk1
100750719,LOC100750719
100750720,LOC100750720
100750721,Atg4a
100750722,LOC100750722
100750723,Gde1
100750724,Klf6
100750725,Kazald1
100750726,Osgin1
100750727,Arg1
100750728,LOC100750728
100750729,LOC100750729
100750730,Epha7
100750731,LOC100750731
100750732,Sdha
100750733,Rbm19
100750734,Tmem203
100750735,Kcnk10
100750736,Stk32c
100750737,Dnah12
100750738,Azi2
100750739,LOC100750739
100750740,Gpr55
100750741,LOC100750741
100750742,LOC100750742
100750743,LOC100750743
100750744,LOC100750744
100750745,LOC100750745
100750746,LOC100750746
100750748,Arfgef1
100750750,Rc3h1
100750752,Agbl1
100750754,LOC100750754
100750756,Pts
100750757,Chit1
100750759,Slc25a42
100750760,LOC100750760
100750761,Pik3r1
100750762,Chpt1
100750763,LOC100750763
100750764,LOC100750764
100750765,Gtf2a1
100750766,St8sia5
100750767,Mapk8ip3
100750768,LOC100750768
100750769,Ankle2
100750770,LOC100750770
100750771,Laptm4a
100750772,Wee2
100750773,Rictor
100750774,Fancb
100750775,Plat
100750776,Coq5
100750777,LOC100750777
100750778,Ngf
100750780,LOC100750780
100750781,Mtmr3
100750782,Nbn
100750783,Ceacam16
100750784,Slitrk2
100750785,LOC100750785
100750786,Glis2
100750787,LOC100750787
100750788,Ttc14
100750789,LOC100750789
100750790,Thap12
100750791,Rasl12
100750792,LOC100750792
100750793,Mog
100750794,Ttc17
100750795,Bag2
100750796,LOC100750796
100750797,Ndufa6
100750798,Agtr1
100750799,Nptxr
100750800,Sct
100750801,Cdipt
100750802,Mb21d2
100750803,LOC100750803
100750804,Tsc22d4
100750805,LOC100750805
100750806,Hbs1l
100750808,LOC100750808
100750809,Efemp1
100750810,Ctgf
100750813,LOC100750813
100750814,Mov10
100750815,Ptgdr2
100750817,Ankef1
100750818,Tmbim1
100750819,Dnm1l
100750820,LOC100750820
100750821,LOC100750821
100750822,LOC100750822
100750823,LOC100750823
100750824,Fam160b2
100750825,Slc5a10
100750826,Frmd4a
100750827,Ttc39a
100750828,Nr2e1
100750829,Cela1
100750830,Arrb2
100750831,Stpg2
100750832,LOC100750832
100750833,LOC100750833
100750834,Adamts20
100750835,LOC100750835
100750836,LOC100750836
100750837,Wbscr17
100750838,Duoxa1
100750839,LOC100750839
100750840,Rab11fip1
100750841,LOC100750841
100750842,LOC100750842
100750843,LOC100750843
100750844,LOC100750844
100750845,Parp6
100750846,LOC100750846
100750847,LOC100750847
100750848,Lactb
100750849,Lhx4
100750851,Tfec
100750852,Tmem161b
100750853,Kiaa1468
100750854,LOC100750854
100750855,LOC100750855
100750856,Prodh
100750857,LOC100750857
100750858,LOC100750858
100750860,LOC100750860
100750863,Col10a1
100750864,Kif25
100750865,Ddx28
100750866,Hsd17b1
100750867,Fezf1
100750868,Znf410
100750869,LOC100750869
100750870,Upk1a
100750872,Exog
100750873,Lpar6
100750874,Erp44
100750875,Coq10a
100750876,Psma2
100750877,Mre11a
100750878,LOC100750878
100750879,Trappc8
100750880,Fam133a
100750882,LOC100750882
100750883,Arl15
100750884,LOC100750884
100750885,LOC100750885
100750886,Aqp6
100750887,Ttc3
100750889,Rell2
100750890,LOC100750890
100750891,Ntn5
100750892,LOC100750892
100750893,Aacs
100750894,Pdyn
100750895,Atic
100750896,Hps5
100750897,Kpna7
100750898,LOC100750898
100750899,St5
100750900,LOC100750900
100750901,Agtr2
100750902,Lamtor4
100750903,LOC100750903
100750904,Wdr46
100750905,LOC100750905
100750906,LOC100750906
100750907,LOC100750907
100750908,Slc2a2
100750909,LOC100750909
100750910,Phkg2
100750911,LOC100750911
100750912,Kdelr1
100750913,LOC100750913
100750914,LOC100750914
100750915,Fbxo15
100750917,Ncbp2
100750918,Gmnc
100750919,Gprc5c
100750920,Bsnd
100750921,LOC100750921
100750922,LOC100750922
100750923,LOC100750923
100750924,Ppp2r2c
100750926,LOC100750926
100750927,Pla2g4a
100750928,LOC100750928
100750929,LOC100750929
100750930,LOC100750930
100750932,Gyltl1b
100750933,Calu
100750934,LOC100750934
100750935,Pnliprp1
100750936,LOC100750936
100750937,LOC100750937
100750938,C1qtnf6
100750939,LOC100750939
100750940,Higd2a
100750942,Cxxc4
100750943,LOC100750943
100750946,Plekho1
100750947,LOC100750947
100750948,Kif26a
100750949,LOC100750949
100750950,LOC100750950
100750951,Ebf4
100750952,LOC100750952
100750953,LOC100750953
100750954,Rps6ka3
100750955,Hoxb2
100750956,Arl13a
100750957,LOC100750957
100750958,Pld5
100750959,Lca5
100750960,Samd4a
100750961,Emx2
100750962,LOC100750962
100750963,Wipi1
100750964,Qki
100750965,Ocstamp
100750966,S100pbp
100750967,LOC100750967
100750968,Eps8
100750969,Ahcy
100750970,LOC100750970
100750971,Il6r
100750973,Icam2
100750974,Utp11
100750977,Fopnl
100750978,Insrr
100750979,Lrguk
100750980,Rgs3
100750982,Golph3
100750983,Mtch1
100750985,Tmem139
100750986,LOC100750986
100750988,LOC100750988
100750989,Zbtb5
100750990,Robo2
100750991,Mycbp
100750992,Fam120b
100750993,Fmo1
100750995,Crot
100750996,LOC100750996
100750998,LOC100750998
100750999,Fgf8
100751000,Ptchd4
100751001,Prkch
100751002,Golga1
100751003,Atg16l2
100751004,Il17f
100751005,Brwd3
100751006,LOC100751006
100751007,LOC100751007
100751008,Mob1b
100751009,Lpgat1
100751010,Med13
100751011,Celsr2
100751012,Tmem255b
100751014,LOC100751014
100751015,LOC100751015
100751016,Psmd10
100751017,LOC100751017
100751018,Tpp2
100751019,Knop1
100751020,Tacr3
100751021,Pitrm1
100751022,Tlx1
100751023,Hsbp1
100751025,LOC100751025
100751027,Kit
100751028,Ccdc127
100751029,Tbx5
100751030,Fam166a
100751031,Gpr65
100751033,Asb14
100751034,LOC100751034
100751035,LOC100751035
100751036,Spata3
100751039,LOC100751039
100751041,Zfp91
100751042,Il17re
100751043,Ercc6l2
100751044,LOC100751044
100751045,Mmachc
100751046,LOC100751046
100751047,LOC100751047
100751049,LOC100751049
100751050,LOC100751050
100751051,Fgf10
100751053,LOC100751053
100751054,Mybph
100751055,Has2
100751056,Plvap
100751057,LOC100751057
100751058,Spic
100751059,LOC100751059
100751060,Ston2
100751061,Loxhd1
100751062,Ube2i
100751063,Rab15
100751064,Kctd18
100751065,Matn3
100751067,LOC100751067
100751068,Glra2
100751069,Ap3m2
100751070,Trpv4
100751071,Epx
100751072,Tshb
100751073,Gars
100751075,Ccdc117
100751076,Calb1
100751077,Bcl3
100751078,Scn7a
100751079,LOC100751079
100751080,Tfap4
100751081,LOC100751081
100751082,Dnajc19
100751083,Fign
100751085,Slc51b
100751086,Tmem63a
100751090,Smdt1
100751091,Cpb1
100751092,Fam227a
100751093,Drd4
100751094,Mvp
100751095,LOC100751095
100751096,Poll
100751097,LOC100751097
100751098,Nyap1
100751099,Chek1
100751101,Pex12
100751102,LOC100751102
100751103,Alpk3
100751104,Enpp3
100751105,LOC100751105
100751106,LOC100751106
100751107,Nhlrc2
100751108,Foxb1
100751109,Ppm1j
100751110,Zp1
100751111,LOC100751111
100751113,Yars2
100751114,LOC100751114
100751116,Aphrodisin
100751117,LOC100751117
100751118,LOC100751118
100751119,Plekhg6
100751120,Bmp1
100751121,LOC100751121
100751122,Eps15
100751123,LOC100751123
100751124,Csnk1d
100751125,LOC100751125
100751126,Galnt6
100751127,Cxcl16
100751128,LOC100751128
100751129,LOC100751129
100751130,LOC100751130
100751131,Taf1
100751132,LOC100751132
100751133,Med30
100751134,Caln1
100751135,Duoxa2
100751137,Adgra2
100751138,LOC100751138
100751141,Gpc1
100751142,Rps27l
100751143,Tor1aip1
100751144,Tes
100751145,LOC100751145
100751146,Ddx47
100751147,LOC100751147
100751148,LOC100751148
100751149,Zcchc3
100751150,LOC100751150
100751151,Sil1
100751152,LOC100751152
100751153,Hic2
100751155,Slc39a12
100751156,Lrrc1
100751157,Frk
100751158,Mllt4
100751159,Slc12a4
100751160,LOC100751160
100751161,Aass
100751162,Coq6
100751163,LOC100751163
100751164,Rbm42
100751165,LOC100751165
100751166,Scn5a
100751167,LOC100751167
100751168,LOC100751168
100751169,Ankrd52
100751170,Mrpl32
100751171,LOC100751171
100751172,Pdzd4
100751173,Epb41l3
100751174,Nap1l3
100751175,LOC100751175
100751176,LOC100751176
100751177,LOC100751177
100751178,Vwc2l
100751179,LOC100751179
100751180,Racgap1
100751181,Cldn14
100751182,LOC100751182
100751183,Rnf14
100751184,LOC100751184
100751185,Fut2
100751186,LOC100751186
100751188,LOC100751188
100751189,Fn1
100751190,Tex13a
100751191,LOC100751191
100751192,Akip1
100751193,B3gntl1
100751194,Slc6a14
100751195,LOC100751195
100751196,LOC100751196
100751197,B3galt4
100751198,LOC100751198
100751199,LOC100751199
100751200,Helt
100751201,LOC100751201
100751202,LOC100751202
100751203,Ccdc189
100751204,Catsperb
100751205,Tmem143
100751206,Enox2
100751207,LOC100751207
100751208,LOC100751208
100751209,Senp5
100751211,Kif19
100751212,Lexm
100751213,Acad8
100751215,Vill
100751218,Socs1
100751219,LOC100751219
100751220,Ptgs2
100751221,LOC100751221
100751222,LOC100751222
100751223,LOC100751223
100751224,Pik3r5
100751225,Opn1sw
100751227,LOC100751227
100751228,Ncaph
100751230,LOC100751230
100751231,LOC100751231
100751232,Nop16
100751233,LOC100751233
100751235,LOC100751235
100751236,Vps29
100751237,LOC100751237
100751238,Bcl9
100751239,Anp32e
100751240,LOC100751240
100751241,LOC100751241
100751242,LOC100751242
100751243,C1galt1c1
100751244,Tmc2
100751245,LOC100751245
100751247,Klf12
100751248,Cdkl5
100751249,Hoxb1
100751250,Trmt2b
100751251,LOC100751251
100751252,Becn2
100751253,LOC100751253
100751254,Fam204a
100751255,LOC100751255
100751256,Arsg
100751257,Tmem115
100751258,Pacrg
100751259,LOC100751259
100751260,Yars
100751261,LOC100751261
100751262,Strap
100751263,Itch
100751264,LOC100751264
100751265,Atp8b2
100751266,Sh2d3a
100751267,LOC100751267
100751268,Fhl3
100751269,LOC100751269
100751270,Mpv17l
100751271,Ntrk1
100751272,Akr1b1
100751273,Aven
100751274,Psmd6
100751275,Pim1
100751276,Scml2
100751277,Clcn1
100751278,Slc35d1
100751279,Sost
100751280,LOC100751280
100751281,LOC100751281
100751282,Polr1e
100751283,Asap3
100751284,Akirin1
100751285,Psmb1
100751286,LOC100751286
100751287,Ythdf3
100751288,LOC100751288
100751289,Wnt6
100751290,Hnrnpc
100751291,Hsd17b12
100751292,Npm3
100751293,Hif1a
100751294,LOC100751294
100751295,Btbd10
100751297,LOC100751297
100751298,LOC100751298
100751299,Dck
100751300,Nek2
100751302,Rab32
100751303,Aldh8a1
100751304,LOC100751304
100751305,Acsm3
100751306,LOC100751306
100751307,LOC100751307
100751308,LOC100751308
100751309,Tmc5
100751310,Fam160a1
100751311,LOC100751311
100751312,Cdh13
100751313,Asb12
100751314,LOC100751314
100751315,LOC100751315
100751316,LOC100751316
100751317,Tenm3
100751319,Lrrc14b
100751320,Tbx3
100751321,LOC100751321
100751322,Flrt2
100751323,LOC100751323
100751324,Appl1
100751325,LOC100751325
100751326,Mmadhc
100751327,LOC100751327
100751328,Fam107b
100751331,LOC100751331
100751333,LOC100751333
100751334,Il17rc
100751335,LOC100751335
100751337,LOC100751337
100751338,Mpzl2
100751339,Rabgap1l
100751340,LOC100751340
100751341,LOC100751341
100751342,LOC100751342
100751343,Hhex
100751344,Ttc12
100751346,Adora1
100751347,Pkm
100751349,Gtpbp3
100751350,LOC100751350
100751351,Arl1
100751353,Sel1l
100751354,Nebulette
100751355,Baiap3
100751356,Gpx2
100751357,Pign
100751358,Sgo2
100751359,Wdr35
100751360,Prss37
100751361,Kat6a
100751362,Fam222a
100751363,LOC100751363
100751364,LOC100751364
100751365,Lsamp
100751366,LOC100751366
100751368,LOC100751368
100751369,Cblc
100751370,Scn9a
100751371,LOC100751371
100751372,Adcy9
100751373,LOC100751373
100751374,Mafb
100751375,Uvrag
100751376,Mtfmt
100751377,LOC100751377
100751378,LOC100751378
100751379,Igsf11
100751380,LOC100751380
100751381,Fam109b
100751382,Cpa3
100751383,Gtf2h1
100751384,Trpa1
100751385,Tmem80
100751386,LOC100751386
100751387,Pagr1
100751388,Cdc42ep1
100751389,LOC100751389
100751390,LOC100751390
100751391,Stt3a
100751392,Fbxo42
100751393,LOC100751393
100751395,LOC100751395
100751396,Pcnx4
100751397,LOC100751397
100751399,Plekhs1
100751401,Fam19a3
100751402,Prpf19
100751403,LOC100751403
100751404,LOC100751404
100751405,Pkp2
100751407,LOC100751407
100751409,LOC100751409
100751410,Pdzd9
100751411,Ltbr
100751412,Ppp3cc
100751413,LOC100751413
100751414,Osbpl9
100751415,Nemp2
100751416,Cd7
100751417,Armc2
100751418,Zmynd15
100751419,Phf21a
100751421,Pla2g6
100751422,Mtmr7
100751424,LOC100751424
100751425,LOC100751425
100751426,LOC100751426
100751427,Sord
100751429,Znf703
100751430,LOC100751430
100751431,LOC100751431
100751432,Araf
100751433,LOC100751433
100751434,Ankmy1
100751435,Usp3
100751436,Exoc6
100751437,LOC100751437
